Date,Open,Close,Low,High,Volume
2016-07-22,2498.9,2515.1,2492.0,2524.0,758608
2016-07-25,2512.0,2558.95,2505.8,2563.2,844398
2016-07-26,2558.95,2552.6,2533.0,2568.0,1155645
2016-07-27,2555.0,2577.55,2545.0,2580.4,875255
2016-07-28,2580.5,2619.25,2577.05,2629.55,2316040
2016-07-29,2614.0,2619.3,2599.0,2634.9,1244042
2016-08-01,2632.0,2708.25,2632.0,2725.0,1980852
2016-08-02,2702.9,2699.2,2689.8,2715.7,1289081
2016-08-03,2686.0,2656.3,2649.05,2699.0,1147351
2016-08-04,2670.0,2652.0,2636.25,2682.95,707708
2016-08-05,2673.9,2649.1,2632.0,2684.3,934242
2016-08-08,2640.0,2649.5,2629.05,2668.0,1029122
2016-08-09,2658.0,2650.2,2578.85,2659.8,1130957
2016-08-10,2651.0,2675.4,2648.0,2682.0,1031039
2016-08-11,2665.55,2709.9,2665.55,2715.0,1116569
2016-08-12,2705.0,2738.45,2702.05,2744.8,1163679
2016-08-16,2738.0,2691.7,2673.85,2740.0,1591877
2016-08-17,2699.0,2624.55,2618.0,2699.0,924283
2016-08-18,2635.0,2638.55,2630.1,2657.55,646032
2016-08-19,2640.0,2603.5,2600.0,2646.45,1208122
2016-08-22,2588.0,2548.7,2536.3,2594.45,1132637
2016-08-23,2544.95,2601.05,2540.2,2604.95,751687
2016-08-24,2589.8,2572.05,2569.05,2602.0,558439
2016-08-25,2580.0,2551.05,2526.0,2589.7,969845
2016-08-26,2559.8,2524.95,2517.2,2572.55,625157
2016-08-29,2534.95,2500.55,2466.75,2534.95,744364
2016-08-30,2510.0,2544.15,2501.25,2549.8,722013
2016-08-31,2550.0,2511.3,2500.85,2550.0,1615834
2016-09-01,2524.9,2507.5,2487.05,2534.95,672868
2016-09-02,2512.0,2514.8,2496.05,2519.4,871165
2016-09-06,2519.9,2484.05,2480.0,2520.15,1119533
2016-09-07,2499.7,2440.55,2423.0,2499.7,1927020
2016-09-08,2360.0,2322.1,2284.75,2360.0,3510758
2016-09-09,2329.7,2352.45,2320.05,2366.65,1371219
2016-09-12,2337.0,2359.05,2324.0,2363.95,1012227
2016-09-14,2362.0,2328.45,2310.0,2377.6,1034929
2016-09-15,2339.95,2326.95,2316.75,2342.1,1409482
